Time,Light sensor values
16:13:18.123968,0.031
16:13:18.167502,0.121
16:13:18.218205,0.220
16:13:18.267380,0.316
16:13:18.318982,0.410
16:13:18.368231,0.499
16:13:18.418767,0.583
16:13:18.468268,0.660
16:13:18.518246,0.733
16:13:18.568720,0.797
16:13:18.618042,0.853
16:13:18.668530,0.901
16:13:18.717185,0.940
16:13:18.767902,0.969
16:13:18.817951,0.989
16:13:18.868175,0.999
16:13:18.918254,0.999
16:13:18.967661,0.989
16:13:19.018938,0.968
16:13:19.067802,0.939
16:13:19.118316,0.900
16:13:19.168453,0.852
16:13:19.218001,0.795
16:13:19.268690,0.730
16:13:19.318725,0.659
16:13:19.368049,0.581
16:13:19.417883,0.497
16:13:19.468064,0.407
16:13:19.518347,0.315
16:13:19.568085,0.218
16:13:19.618999,0.119
16:13:19.668254,0.019
16:13:19.718664,-0.081
16:13:19.767818,-0.179
16:13:19.818144,-0.276
16:13:19.868326,-0.371
16:13:19.918597,-0.462
16:13:19.968288,-0.549
16:13:20.018967,-0.629
16:13:20.068207,-0.704
16:13:20.118833,-0.771
16:13:20.168062,-0.830
16:13:20.217690,-0.882
16:13:20.268411,-0.925
16:13:20.318542,-0.958
16:13:20.367536,-0.982
16:13:20.418727,-0.996
16:13:20.468586,-1.000
16:13:20.517517,-0.994
