Time,Light sensor values,Load scale values,Izze strain gauge amplifier values
16:25:05.513515,0.889,0.796,-0.206
16:25:05.558600,0.927,0.706,-0.377
16:25:05.609599,0.960,0.591,-0.556
16:25:05.658070,0.983,0.467,-0.706
16:25:05.708826,0.996,0.328,-0.834
16:25:05.759081,1.000,0.182,-0.928
16:25:05.808575,0.993,0.034,-0.983
16:25:05.857896,0.977,-0.116,-1.000
16:25:05.908418,0.951,-0.262,-0.977
16:25:05.959033,0.915,-0.405,-0.914
16:25:06.008208,0.870,-0.536,-0.816
16:25:06.058868,0.816,-0.657,-0.684
16:25:06.107185,0.755,-0.760,-0.530
16:25:06.159041,0.685,-0.850,-0.345
16:25:06.208705,0.609,-0.919,-0.154
16:25:06.259130,0.527,-0.968,0.048
16:25:06.308748,0.439,-0.995,0.244
16:25:06.359251,0.347,-0.999,0.433
16:25:06.409161,0.252,-0.981,0.603
16:25:06.459019,0.154,-0.941,0.749
16:25:06.509064,0.055,-0.880,0.865
16:25:06.559244,-0.046,-0.799,0.948
16:25:06.608790,-0.145,-0.700,0.992
16:25:06.658697,-0.242,-0.586,0.997
16:25:06.708286,-0.339,-0.458,0.963
